City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,howrah,22.5892,88.3103,27.0,78,20,0.0,IN,1698344317
297,kingston,17.997,-76.7936,32.36,63,40,3.6,JM,1698344108
298,umm qasr,30.0405,47.9168,22.93,42,0,3.78,IQ,1698344320
299,kenora,49.8167,-94.4337,0.99,100,100,4.92,CA,1698344322
300,tejen,37.3834,60.5054,21.5,41,75,4.26,TM,1698344322
301,metlili chaamba,32.2667,3.6333,22.52,27,0,3.76,DZ,1698344324
302,wynyard,-41.0,145.7167,4.52,77,0,2.16,AU,1698344327
303,mitchell,43.7094,-98.0298,8.19,93,100,6.69,US,1698344329
304,new norfolk,-42.7826,147.0587,7.72,95,54,0.99,AU,1698344329
305,lompoc,34.6391,-120.4579,22.14,69,0,3.6,US,1698344282
306,parkes,-33.1333,148.1833,4.4,88,1,2.58,AU,1698344331
307,kununurra,-15.7667,128.7333,30.99,16,79,6.17,AU,1698344332
308,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,83,0,7.15,RU,1698344332
309,kaa-khem,51.6833,94.7333,4.67,42,48,1.98,RU,1698344333
310,east london,-33.0153,27.9116,20.52,94,0,4.12,ZA,1698344333
311,khovd,48.0056,91.6419,6.87,30,97,4.5,MN,1698344335
312,spring lake park,45.1077,-93.238,16.32,96,100,2.06,US,1698344335
313,santa rita,-7.1139,-34.9781,29.37,70,75,5.14,BR,1698344082
314,candelaria,13.9311,121.4233,25.77,94,47,1.52,PH,1698344337
315,port douglas,-16.4833,145.4667,22.56,78,80,1.45,AU,1698344338
316,egersund,58.4513,5.9997,5.05,65,87,5.92,NO,1698344338
317,namdrik,5.5994,168.1028,28.79,71,89,4.14,MH,1698344339
318,kapa'a,22.0752,-159.319,24.99,79,0,2.06,US,1698344340
319,kiffa,16.6166,-11.4045,37.51,9,37,5.2,MR,1698344343
320,mariental,-24.6333,17.9667,32.87,8,10,4.78,NA,1698344345
321,walvis bay,-22.9575,14.5053,15.68,87,59,4.21,NA,1698344346
322,marquette,46.5333,-87.6335,8.79,98,100,1.34,US,1698344347
323,prince george,53.9166,-122.753,0.7,57,0,4.63,CA,1698344348
324,ambert,45.55,3.75,12.05,99,100,1.13,FR,1698344349
325,nuuk,64.1835,-51.7216,0.34,74,75,6.69,GL,1698344318
326,arawa,-6.2132,155.5367,24.04,91,100,0.58,PG,1698344350
327,belomorsk,64.5232,34.7668,-3.22,83,96,2.23,RU,1698344350
328,ulladulla,-35.35,150.4667,9.32,61,88,6.07,AU,1698344351
329,mogadishu,2.0371,45.3438,27.18,82,24,4.51,SO,1698344351
330,tolanaro,-25.0319,46.9987,20.79,70,36,2.6,MG,1698344352
331,gvardeysk,54.6477,21.0651,4.08,93,100,5.36,RU,1698344352
332,bubaque,11.2833,-15.8333,28.28,79,71,5.45,GW,1698344353
333,aykhal,66.0,111.5,-15.83,100,83,0.87,RU,1698344354
334,uzgen,40.7699,73.3007,10.16,53,68,2.04,KG,1698344354
335,vernon,50.2581,-119.2691,4.31,40,100,1.03,CA,1698344211
336,colby,39.3958,-101.0524,14.03,82,100,3.09,US,1698344355
337,sao gabriel da cachoeira,-0.1303,-67.0892,33.16,54,58,0.76,BR,1698344206
338,kavieng,-2.5744,150.7967,27.17,80,100,4.8,PG,1698344358
339,yaren,-0.5472,166.916,28.74,72,29,4.38,NR,1698344358
340,diego de almagro,-26.3667,-70.05,25.13,17,1,5.05,CL,1698344359
